,c,h,l,o,s,t,v
0,6.646,6.6676,6.5489,6.5489,ok,1420156800,388400
1,6.4726,6.6344,6.4672,6.5373,ok,1420416000,842400
2,6.4726,6.5967,6.4349,6.5104,ok,1420502400,487700
3,6.518,6.5774,6.4587,6.5342,ok,1420588800,484800
4,6.5469,6.6116,6.4876,6.5523,ok,1420675200,521300
5,6.5056,6.5488,6.4679,6.5488,ok,1420761600,632500
6,6.4933,6.4987,6.4285,6.4987,ok,1421020800,289000
7,6.518,6.6259,6.4587,6.5234,ok,1421107200,600300
8,6.452,6.4951,6.3765,6.4358,ok,1421193600,736200
9,6.4024,6.5535,6.3809,6.5535,ok,1421280000,787300
10,6.4726,6.4726,6.3378,6.4025,ok,1421366400,924400
11,6.4107,6.4646,6.3244,6.4431,ok,1421712000,733600
12,6.6655,6.6709,6.2879,6.4012,ok,1421798400,1056200
13,6.807,6.8285,6.6182,6.6937,ok,1421884800,1258800
14,6.6863,6.8805,6.6216,6.8805,ok,1421971200,465300
15,6.6821,6.6875,6.5797,6.6444,ok,1422230400,590400
16,6.6281,6.6712,6.5256,6.6011,ok,1422316800,1027600
17,6.4991,6.7741,6.4883,6.6447,ok,1422403200,633300
18,6.5115,6.5493,6.4145,6.49,ok,1422489600,916600
19,6.3451,6.4638,6.2912,6.3289,ok,1422576000,970900
20,6.4325,6.481,6.3462,6.4163,ok,1422835200,919000
21,6.6489,6.6758,6.4169,6.4169,ok,1422921600,838000
22,6.549,6.7701,6.549,6.6784,ok,1423008000,1173300
23,6.6655,6.6871,6.4336,6.5037,ok,1423094400,581700
24,6.4159,6.7287,6.3889,6.7071,ok,1423180800,692200
25,6.4907,6.577,6.3289,6.4044,ok,1423440000,464200
26,6.5448,6.5772,6.4154,6.4585,ok,1423526400,599700
27,6.4866,6.5945,6.4111,6.4974,ok,1423612800,722300
28,6.6405,6.7107,6.4679,6.5434,ok,1423699200,827800
29,6.7404,6.7781,6.6217,6.6217,ok,1423785600,685700
30,6.678,6.7697,6.624,6.7697,ok,1424131200,586200
31,6.7446,6.8147,6.6529,6.669,ok,1424217600,749300
32,6.7654,6.7977,6.6683,6.6683,ok,1424304000,574500
33,6.7612,6.799,6.7073,6.7342,ok,1424390400,386000
34,6.7737,6.8114,6.7305,6.7575,ok,1424649600,611000
35,6.8486,6.8971,6.7137,6.8162,ok,1424736000,932900
36,6.8361,6.8684,6.7606,6.8199,ok,1424822400,533700
37,6.7695,6.9098,6.7372,6.9098,ok,1424908800,838500
38,6.8444,6.9145,6.7257,6.7257,ok,1424995200,1202300
39,6.7737,6.9139,6.7143,6.8384,ok,1425254400,1316500
40,6.7612,6.8313,6.745,6.7612,ok,1425340800,996700
41,6.5989,6.8416,6.5989,6.7553,ok,1425427200,1851900
42,6.6114,6.7786,6.5844,6.5844,ok,1425513600,2221600
43,6.4907,6.6687,6.4692,6.5986,ok,1425600000,2451100
44,6.5407,6.5569,6.4652,6.4921,ok,1425859200,636800
45,6.5199,6.5414,6.4821,6.4875,ok,1425945600,1185400
46,6.549,6.5706,6.4735,6.5112,ok,1426032000,1526900
47,6.5989,6.6475,6.572,6.6043,ok,1426118400,1164600
48,6.4907,6.5878,6.453,6.5663,ok,1426204800,1866200
49,6.4325,6.5943,6.4055,6.5512,ok,1426464000,818500
50,6.4408,6.4732,6.3168,6.4031,ok,1426550400,1266400
51,6.5906,6.6176,6.3533,6.3964,ok,1426636800,1380400
52,6.4991,6.6177,6.4829,6.553,ok,1426723200,976600
53,6.6489,6.7244,6.5032,6.5302,ok,1426809600,1057100
54,6.7071,6.7503,6.6208,6.6963,ok,1427068800,1546400
55,6.7903,6.8389,6.6663,6.6932,ok,1427155200,1411200
56,6.782,6.8683,6.7335,6.8359,ok,1427241600,1579600
57,6.6697,6.853,6.6697,6.7344,ok,1427328000,1251600
58,6.7362,6.7578,6.6607,6.6607,ok,1427414400,945700
59,6.7487,6.7973,6.7056,6.7703,ok,1427673600,668300
60,6.7654,6.8193,6.733,6.733,ok,1427760000,1800900
61,6.8319,6.8589,6.7672,6.7942,ok,1427846400,1443800
62,6.8694,6.9125,6.8478,6.864,ok,1427932800,630900
63,6.9609,7.0256,6.8854,6.8854,ok,1428278400,1045600
64,7.0483,7.1022,6.8865,6.9134,ok,1428364800,2393800
65,7.0566,7.1052,7.0242,7.0782,ok,1428451200,1378800
66,7.0816,7.1085,7.0115,7.0384,ok,1428537600,1320600
67,7.1107,7.1107,6.9974,7.0244,ok,1428624000,1064700
68,7.1398,7.156,7.0427,7.0697,ok,1428883200,3373500
69,7.144,7.1763,7.1062,7.144,ok,1428969600,1646300
70,7.1898,7.2707,7.0927,7.125,ok,1429056000,1933300
71,7.2355,7.2571,7.0737,7.1762,ok,1429142400,1311300
72,7.1357,7.2651,7.1141,7.1734,ok,1429228800,1653000
73,7.3063,7.3386,7.0905,7.1067,ok,1429488000,2089000
74,7.3437,7.4138,7.2628,7.3491,ok,1429574400,1779200
75,7.3063,7.3332,7.2469,7.3278,ok,1429660800,2047100
76,7.5309,7.5525,7.2289,7.2343,ok,1429747200,3201800
77,7.6682,7.6682,7.5711,7.5711,ok,1429833600,1910500
78,7.6807,7.7239,7.6214,7.6591,ok,1430092800,909000
79,7.5476,7.7687,7.499,7.7418,ok,1430179200,1860400
80,7.5143,7.5844,7.4604,7.4873,ok,1430265600,1746600
81,7.3936,7.5123,7.2534,7.5123,ok,1430352000,2513400
82,7.5268,7.5322,7.3704,7.4027,ok,1430438400,842400
83,7.4644,7.5614,7.3457,7.5614,ok,1430697600,1938900
84,7.4935,7.5097,7.3586,7.3748,ok,1430784000,1999900
85,7.5559,7.5667,7.4696,7.5343,ok,1430870400,1278700
86,7.6682,7.679,7.5172,7.5496,ok,1430956800,1722700
87,7.6974,7.816,7.6866,7.7729,ok,1431043200,2212100
88,7.6766,7.7251,7.6442,7.6927,ok,1431302400,1500000
89,7.6682,7.7114,7.555,7.6574,ok,1431388800,3827700
90,7.6516,7.7756,7.6354,7.7541,ok,1431475200,3423200
91,7.8555,8.0443,7.8339,7.9418,ok,1431561600,1816900
92,7.9251,7.9628,7.7309,7.8549,ok,1431648000,1510400
93,7.8946,7.9486,7.8083,7.9378,ok,1431907200,1005600
94,7.7294,7.9182,7.7079,7.9128,ok,1431993600,1649500
95,7.686,7.7507,7.6266,7.7345,ok,1432080000,1414600
96,7.6729,7.7754,7.6244,7.6675,ok,1432166400,773800
97,7.5295,7.6751,7.4485,7.6697,ok,1432252800,1739200
98,7.4034,7.5328,7.3171,7.522,ok,1432598400,1368000
99,7.4773,7.4989,7.3101,7.3424,ok,1432684800,1526500
100,7.4512,7.4728,7.3703,7.4404,ok,1432771200,941000
101,7.3947,7.5187,7.3839,7.4324,ok,1432857600,2001300
102,7.2817,7.4381,7.2817,7.4381,ok,1433116800,1295900
103,7.2643,7.3668,7.2427,7.3128,ok,1433203200,1147800
104,7.1904,7.2605,7.1742,7.2551,ok,1433289600,1036200
105,7.1165,7.2028,7.0787,7.1758,ok,1433376000,728800
106,7.1165,7.1488,6.9816,7.0733,ok,1433462400,1393800
107,7.0599,7.1409,7.0492,7.1355,ok,1433721600,1193200
108,7.0556,7.1311,7.0178,7.0718,ok,1433808000,1056900
109,7.0469,7.2033,7.0307,7.1278,ok,1433894400,1308300
110,6.9991,7.0638,6.9074,7.0368,ok,1433980800,1221000
111,7.0078,7.0186,6.9592,6.997,ok,1434067200,1695100
112,6.9947,7.0055,6.903,6.9786,ok,1434326400,1780300
113,7.0034,7.0142,6.9279,7.0034,ok,1434412800,1010800
114,7.0078,7.0294,6.8298,6.9862,ok,1434499200,1634600
115,7.0382,7.0868,6.9681,7.0166,ok,1434585600,1424900
116,6.7991,7.112,6.7883,7.0796,ok,1434672000,1276600
117,6.9904,7.0443,6.8448,6.8448,ok,1434931200,1004100
118,6.9469,7.0494,6.9146,6.9901,ok,1435017600,916600
119,6.8382,6.9731,6.8382,6.9677,ok,1435104000,811800
120,6.8643,6.8697,6.8212,6.8427,ok,1435190400,1513200
121,6.9252,6.936,6.8011,6.8443,ok,1435276800,869500
122,6.6991,6.9149,6.6829,6.8987,ok,1435536000,864300
123,6.8817,6.9249,6.7037,6.7037,ok,1435622400,1246600
124,6.773,6.9672,6.7353,6.951,ok,1435708800,1228000
125,6.8774,6.8882,6.7479,6.7857,ok,1435795200,783100
126,6.7296,6.7889,6.6433,6.7565,ok,1436140800,1548200
127,6.647,6.6793,6.4851,6.5876,ok,1436227200,1045400
128,6.5296,6.6429,6.4972,6.508,ok,1436313600,1135000
129,6.6339,6.7418,6.6177,6.6393,ok,1436400000,1518900
130,6.8687,6.9442,6.6313,6.6691,ok,1436486400,1322800
131,6.9165,6.9327,6.841,6.8679,ok,1436745600,886500
132,6.9556,7.0096,6.8585,6.9179,ok,1436832000,747700
133,6.9121,6.993,6.8852,6.9175,ok,1436918400,753000
134,6.9556,6.9934,6.9071,6.9826,ok,1437004800,319400
135,6.9078,6.9617,6.897,6.9294,ok,1437091200,751200
136,6.8469,6.9386,6.8308,6.9224,ok,1437350400,669400
137,6.9252,6.9468,6.8119,6.8227,ok,1437436800,822000
138,6.86,6.9301,6.833,6.8869,ok,1437523200,979800
139,6.7513,6.9131,6.7189,6.8484,ok,1437609600,831800
140,6.6817,6.7626,6.6709,6.7411,ok,1437696000,1584900
141,6.5426,6.7152,6.4941,6.6505,ok,1437955200,1005900
142,6.4687,6.706,6.4256,6.5874,ok,1438041600,1028500
143,6.3209,6.5043,6.2832,6.5043,ok,1438128000,2326500
144,6.2557,6.3959,6.2233,6.3258,ok,1438214400,913200
145,6.5687,6.5741,6.175,6.175,ok,1438300800,1827800
146,6.4079,6.6074,6.3323,6.5481,ok,1438560000,1485400
147,6.2253,6.5165,6.2037,6.4518,ok,1438646400,1210400
148,6.2644,6.3453,6.1943,6.2374,ok,1438732800,938600
149,6.2861,6.3401,6.1837,6.2538,ok,1438819200,1752000
150,6.2774,6.353,6.2505,6.3098,ok,1438905600,1704700
151,6.3383,6.3437,6.2412,6.2844,ok,1439164800,1075300
152,6.147,6.3142,6.1362,6.2873,ok,1439251200,1349300
153,6.2166,6.222,6.0062,6.071,ok,1439337600,1268500
154,6.1296,6.2375,6.1242,6.2267,ok,1439424000,979000
155,6.1166,6.1597,5.9925,6.1274,ok,1439510400,640500
156,6.0123,6.1633,5.9907,6.104,ok,1439769600,925500
157,6.0731,6.1001,5.9545,5.9868,ok,1439856000,1395300
158,6.0557,6.0989,5.9694,6.0719,ok,1439942400,1465400
159,6.0905,6.1283,5.9611,6.0096,ok,1440028800,1071200
160,5.8601,6.1244,5.8601,6.0759,ok,1440115200,778800
161,5.5384,5.6894,5.2471,5.6894,ok,1440374400,1412500
162,5.5341,5.9548,5.5287,5.7552,ok,1440460800,2455400
163,5.5819,5.652,5.5603,5.6412,ok,1440547200,2039000
164,5.9775,5.9829,5.5676,5.6323,ok,1440633600,2036400
165,5.9297,6.0214,5.8272,5.9297,ok,1440720000,1385400
166,6.034,6.0502,5.7319,5.9369,ok,1440979200,2002600
167,5.8297,6.0077,5.8027,5.9699,ok,1441065600,1789100
168,5.7775,5.9879,5.7451,5.8908,ok,1441152000,1492000
169,5.8992,5.9586,5.7428,5.7536,ok,1441238400,1935900
170,5.7471,5.8873,5.7039,5.8226,ok,1441324800,1313900
171,5.6906,5.8686,5.6258,5.8686,ok,1441670400,1574900
172,5.708,5.7889,5.6918,5.7457,ok,1441756800,1161700
173,5.6645,5.7184,5.6267,5.6861,ok,1441843200,1636100
174,5.5993,5.7018,5.5885,5.6694,ok,1441929600,656500
175,5.5688,5.6444,5.5095,5.5958,ok,1442188800,4220600
176,5.6906,5.696,5.5341,5.5341,ok,1442275200,1402700
177,5.9166,5.9436,5.6901,5.6901,ok,1442361600,1381700
178,5.9297,6.0267,5.7355,5.7355,ok,1442448000,1264900
179,5.7992,5.9449,5.7831,5.8586,ok,1442534400,1036200
180,5.8036,5.8845,5.7928,5.8252,ok,1442793600,1551200
181,5.6427,5.7938,5.5996,5.7614,ok,1442880000,1523400
182,5.5123,5.782,5.5069,5.7335,ok,1442966400,1058200
183,5.6036,5.6576,5.3825,5.4148,ok,1443052800,1709900
184,5.5471,5.7089,5.504,5.6873,ok,1443139200,1279200
185,5.3776,5.5556,5.3722,5.5556,ok,1443398400,1063600
186,5.421,5.4534,5.3509,5.3725,ok,1443484800,996100
187,5.4949,5.5111,5.414,5.4788,ok,1443571200,2316900
188,5.4384,5.5679,5.4115,5.5463,ok,1443657600,1622800
189,5.5167,5.5436,5.3495,5.3495,ok,1443744000,1886600
190,5.5471,5.5633,5.504,5.5633,ok,1444003200,4375600
191,5.6036,5.6252,5.5389,5.5443,ok,1444089600,2489700
192,5.6993,5.737,5.6399,5.6615,ok,1444176000,2333000
193,5.7166,5.7382,5.625,5.6681,ok,1444262400,1736800
194,5.7558,5.772,5.691,5.745,ok,1444348800,1230600
195,5.7905,5.8175,5.742,5.7636,ok,1444608000,1010400
196,5.721,5.7534,5.6994,5.7534,ok,1444694400,1480600
197,5.7123,5.7878,5.6745,5.7447,ok,1444780800,750300
198,5.7949,5.8057,5.6331,5.7356,ok,1444867200,2215700
199,5.7732,5.7947,5.703,5.7947,ok,1444953600,1266800
200,5.7253,5.7685,5.6714,5.7253,ok,1445212800,787900
201,5.7297,5.762,5.6811,5.7135,ok,1445299200,937000
202,5.7253,5.7685,5.693,5.7038,ok,1445385600,921600
203,5.8601,5.8979,5.6929,5.6929,ok,1445472000,1187400
204,5.8645,5.9561,5.7566,5.8591,ok,1445558400,1158900
205,5.8949,6.1268,5.8517,5.8517,ok,1445817600,1747000
206,5.8514,5.9431,5.7759,5.8622,ok,1445904000,1750100
207,5.8384,5.9139,5.6873,5.8761,ok,1445990400,2622400
208,5.7732,5.8217,5.6923,5.7947,ok,1446076800,1695200
209,5.7601,5.8572,5.6846,5.7655,ok,1446163200,1290300
210,5.7036,5.7737,5.5742,5.7737,ok,1446422400,1535100
211,5.7905,5.8229,5.6395,5.6611,ok,1446508800,1486900
212,5.7166,5.8839,5.6843,5.8191,ok,1446595200,1317800
213,5.621,5.7451,5.6156,5.7451,ok,1446681600,1557900
214,5.5428,5.6398,5.3702,5.5535,ok,1446768000,3041400
215,5.4384,5.5625,5.3953,5.5193,ok,1447027200,1802400
216,5.4862,5.497,5.3838,5.3999,ok,1447113600,1702700
217,5.5341,5.5448,5.4585,5.5017,ok,1447200000,1334500
218,5.4906,5.5445,5.4205,5.4852,ok,1447286400,898000
219,5.4297,5.4945,5.3704,5.4837,ok,1447372800,1671700
220,5.3645,5.4616,5.3214,5.4454,ok,1447632000,2328600
221,5.3037,5.4709,5.2929,5.3792,ok,1447718400,2283700
222,5.3254,5.3416,5.2553,5.3254,ok,1447804800,2091400
223,5.3471,5.4011,5.2393,5.3256,ok,1447891200,2020600
224,5.4732,5.5002,5.3437,5.3437,ok,1447977600,2871100
225,5.3949,5.519,5.3734,5.4759,ok,1448236800,1239300
226,5.508,5.5673,5.3354,5.357,ok,1448323200,2086800
227,5.4862,5.551,5.4431,5.4755,ok,1448409600,1837400
228,5.3689,5.5091,5.3635,5.4875,ok,1448582400,634400
229,5.3297,5.4538,5.2219,5.3675,ok,1448841600,2463700
230,5.2863,5.3726,5.2323,5.3564,ok,1448928000,1340800
231,5.1993,5.291,5.1724,5.291,ok,1449014400,1229000
232,5.1428,5.2669,5.1374,5.2669,ok,1449100800,1338000
233,5.1863,5.2079,5.1,5.1323,ok,1449187200,1157200
234,5.1819,5.2089,5.128,5.155,ok,1449446400,1605900
235,5.095,5.1543,5.0572,5.1327,ok,1449532800,1224700
236,5.1863,5.2726,5.0892,5.0892,ok,1449619200,1330800
237,5.1645,5.2185,5.1484,5.1753,ok,1449705600,1934000
238,4.9602,5.1652,4.9602,5.1652,ok,1449792000,2069600
239,4.9341,5.0312,4.8802,5.015,ok,1450051200,3494900
240,4.9559,5.0853,4.9235,5.0098,ok,1450137600,2583900
241,5.1515,5.1947,4.9196,4.9358,ok,1450224000,2622100
242,5.3776,5.4369,5.2319,5.2319,ok,1450310400,4025500
243,5.4558,5.5044,5.2832,5.5044,ok,1450396800,3354800
244,5.4428,5.5884,5.4158,5.5345,ok,1450656000,1877100
245,5.3515,5.4755,5.3029,5.4701,ok,1450742400,1812200
246,5.4297,5.4351,5.3542,5.3596,ok,1450828800,1372800
247,5.3906,5.4445,5.3636,5.3798,ok,1450915200,545400
248,5.3254,5.3739,5.293,5.3631,ok,1451260800,716300
249,5.2863,5.378,5.2593,5.3726,ok,1451347200,936400
250,5.2037,5.2738,5.1875,5.2684,ok,1451433600,703200
251,5.2819,5.2927,5.0931,5.1525,ok,1451520000,1496700
252,5.0993,5.191,5.04,5.1695,ok,1451865600,1165600
253,5.1037,5.1091,5.039,5.1091,ok,1451952000,718400
254,5.0037,5.0792,4.9875,5.0415,ok,1452038400,838000
255,4.8124,4.9095,4.7801,4.8879,ok,1452124800,1540400
256,4.7994,4.8965,4.74,4.8533,ok,1452211200,1784800
257,4.7994,4.8857,4.7616,4.8641,ok,1452470400,2002600
258,4.7733,4.8542,4.6924,4.8488,ok,1452556800,1313500
259,4.8168,4.8491,4.779,4.779,ok,1452643200,1573800
260,4.9341,4.9827,4.7777,4.8047,ok,1452729600,2732700
261,4.7429,4.8453,4.6781,4.8453,ok,1452816000,2753300
262,4.6863,4.832,4.6378,4.8266,ok,1453161600,1564400
263,4.7011,4.7442,4.5285,4.6633,ok,1453248000,2070900
264,4.8026,4.8511,4.6408,4.6731,ok,1453334400,2140200
265,5.0101,5.0694,4.9184,4.9346,ok,1453420800,2105900
266,4.8997,5.0399,4.8997,5.0292,ok,1453680000,1362300
267,4.913,4.9507,4.8968,4.9022,ok,1453766400,1917900
268,4.9439,5.0032,4.8845,4.9007,ok,1453852800,2237000
269,5.0101,5.0532,4.9399,4.9993,ok,1453939200,2917600
270,5.2043,5.296,5.0317,5.0317,ok,1454025600,5301100
271,5.3588,5.3588,5.1322,5.1322,ok,1454284800,2642300
272,5.2308,5.3063,5.22,5.2955,ok,1454371200,1536900
273,5.2749,5.3127,5.167,5.2533,ok,1454457600,3589700
274,5.372,5.4421,5.2965,5.2965,ok,1454544000,3401900
275,5.3764,5.425,5.2686,5.3603,ok,1454630400,3764500
276,5.3191,5.3946,5.2274,5.3244,ok,1454889600,1016500
277,5.297,5.3563,5.1945,5.2646,ok,1454976000,1711400
278,5.372,5.4206,5.2534,5.2803,ok,1455062400,1312200
279,5.2219,5.3028,5.2112,5.2975,ok,1455148800,3038500
280,5.3632,5.3686,5.1852,5.2823,ok,1455235200,2225700
281,5.5133,5.5241,5.373,5.4432,ok,1455580800,1422300
282,5.6457,5.6565,5.5324,5.5432,ok,1455667200,1750100
283,5.7031,5.7247,5.606,5.6438,ok,1455753600,1897300
284,5.6369,5.6962,5.5883,5.6746,ok,1455840000,1396000
285,5.7119,5.7335,5.6634,5.6796,ok,1456099200,1638300
286,5.5927,5.6952,5.5658,5.6952,ok,1456185600,674600
287,5.5795,5.5957,5.45,5.5471,ok,1456272000,639600
288,5.6854,5.6908,5.5668,5.5883,ok,1456358400,941000
289,5.6016,5.7849,5.6016,5.7634,ok,1456444800,1708400
290,5.5795,5.7089,5.5579,5.6928,ok,1456704000,1461600
291,5.7031,5.7193,5.5952,5.6276,ok,1456790400,1147000
292,5.7914,5.8022,5.6403,5.6781,ok,1456876800,877400
293,5.9635,5.9635,5.7208,5.7747,ok,1456963200,989800
294,5.9856,6.0072,5.8669,5.9478,ok,1457049600,1605900
295,5.9591,6.0508,5.9321,5.9483,ok,1457308800,859300
296,5.8973,6.0106,5.8434,5.9243,ok,1457395200,1428300
297,5.8664,6.0282,5.8664,5.9203,ok,1457481600,2181000
298,5.9017,5.9233,5.7885,5.8694,ok,1457568000,2008600
299,5.9635,5.9689,5.888,5.9312,ok,1457654400,1490600
300,6.0121,6.0283,5.8611,5.9042,ok,1457913600,1436400
301,5.8664,5.9635,5.834,5.9635,ok,1458000000,1600700
302,5.9238,5.9238,5.762,5.8429,ok,1458086400,1026100
303,6.0562,6.0832,5.9322,5.9322,ok,1458172800,1487000
304,6.1092,6.1254,5.9959,6.0499,ok,1458259200,1918100
305,6.0871,6.1357,6.0548,6.0817,ok,1458518400,1005200
306,6.0518,6.1651,6.0194,6.0302,ok,1458604800,1208600
307,5.8797,6.0523,5.8743,6.0523,ok,1458691200,1269800
308,5.8885,5.9101,5.7159,5.8453,ok,1458777600,1895500
309,5.8664,5.888,5.8017,5.8664,ok,1459123200,1175600
310,5.99,6.0062,5.7958,5.839,ok,1459209600,1136800
311,6.1004,6.1381,6.0033,6.0087,ok,1459296000,2594600
312,6.1357,6.1519,6.0332,6.0763,ok,1459382400,2345800
313,6.2019,6.2127,5.9861,6.0293,ok,1459468800,1316100
314,6.1798,6.2338,6.1421,6.1636,ok,1459728000,2054700
315,6.043,6.1616,6.0322,6.1347,ok,1459814400,1271200
316,5.9017,6.0366,5.8478,6.0042,ok,1459900800,2364700
317,5.8267,5.9022,5.7727,5.8483,ok,1459987200,1621100
318,5.9635,6.039,5.8179,5.8503,ok,1460073600,1058800
319,5.9812,6.0891,5.9758,6.0297,ok,1460332800,987600
320,6.1357,6.1357,5.9415,5.9685,ok,1460419200,1176900
321,6.1622,6.2215,6.1136,6.1783,ok,1460505600,1256000
322,6.0827,6.196,6.0288,6.196,ok,1460592000,1972400
323,6.1136,6.1136,6.0381,6.0381,ok,1460678400,1006300
324,6.0386,6.1518,5.9954,6.0925,ok,1460937600,1885300
325,6.299,6.299,6.0131,6.0131,ok,1461024000,1440500
326,6.2284,6.2985,6.196,6.2661,ok,1461110400,1196300
327,6.0959,6.2416,6.0043,6.2146,ok,1461196800,1541600
328,6.1489,6.1975,6.0896,6.0896,ok,1461283200,1232100
329,6.1004,6.1921,6.0626,6.1489,ok,1461542400,1320900
330,6.0739,6.1494,6.0199,6.1332,ok,1461628800,1159800
331,6.2197,6.2797,5.9997,5.9997,ok,1461715200,619500
332,6.5798,6.8098,6.0898,6.0898,ok,1461801600,1313500
333,7.0054,7.0954,6.4854,6.4854,ok,1461888000,1288400
334,7.0463,7.1263,6.7963,7.0263,ok,1462147200,1444300
335,6.8744,6.9644,6.6944,6.8244,ok,1462233600,1004300
336,6.9481,6.9981,6.8181,6.8181,ok,1462320000,1500500
337,6.8908,7.0408,6.8608,6.9908,ok,1462406400,667300
338,6.8008,6.9608,6.8008,6.9008,ok,1462492800,696900
339,6.8253,6.8353,6.7053,6.7553,ok,1462752000,615100
340,6.899,6.929,6.709,6.819,ok,1462838400,792900
341,6.8417,6.9217,6.7217,6.9017,ok,1462924800,704600
342,6.809,6.959,6.739,6.899,ok,1463011200,402300
343,6.7036,6.9036,6.6636,6.8636,ok,1463097600,834200
344,6.847,6.957,6.397,6.697,ok,1463356800,1906100
345,6.9397,6.9597,6.6997,6.8297,ok,1463443200,901600
346,6.7795,7.0495,6.7495,7.0195,ok,1463529600,1823600
347,6.6868,6.8568,6.5668,6.7568,ok,1463616000,1004000
348,6.6109,6.7909,6.5809,6.7409,ok,1463702400,380600
349,6.4928,6.6528,6.4828,6.6528,ok,1463961600,1003100
350,6.5181,6.5881,6.4781,6.5381,ok,1464048000,726000
351,6.5266,6.6066,6.4866,6.5466,ok,1464134400,1065600
352,6.5519,6.6119,6.5319,6.5519,ok,1464220800,652400
353,6.535,6.615,6.525,6.565,ok,1464307200,524100
354,6.4422,6.5922,6.3722,6.5322,ok,1464652800,987100
355,6.4591,6.4791,6.2991,6.4091,ok,1464739200,695900
356,6.4338,6.4838,6.4138,6.4438,ok,1464825600,467100
357,6.5519,6.5619,6.4119,6.4119,ok,1464912000,3118400
358,6.7374,6.7374,6.4874,6.5174,ok,1465171200,904400
359,6.8217,6.8417,6.6817,6.7117,ok,1465257600,824400
360,7.0915,7.1015,6.8015,6.8015,ok,1465344000,852900
361,6.9903,7.0903,6.9503,7.0403,ok,1465430400,1058900
362,6.8807,6.9507,6.7907,6.9507,ok,1465516800,761000
363,6.8554,6.8654,6.7454,6.8254,ok,1465776000,1088100
364,6.8217,6.8817,6.7917,6.8617,ok,1465862400,1291400
365,6.8723,6.8923,6.7823,6.8323,ok,1465948800,1096800
366,6.8639,6.8739,6.7439,6.8439,ok,1466035200,1216400
367,7.0915,7.0915,6.7815,6.7815,ok,1466121600,1163700
368,7.1421,7.2421,7.1221,7.1621,ok,1466380800,674400
369,7.159,7.199,7.109,7.179,ok,1466467200,769500
370,7.1253,7.2953,7.1153,7.1953,ok,1466553600,1343800
371,7.2686,7.2786,7.1186,7.1186,ok,1466640000,875900
372,6.9988,7.0988,6.8888,7.0488,ok,1466726400,907100
373,6.847,7.007,6.737,7.007,ok,1466985600,682700
374,7.218,7.218,6.838,6.838,ok,1467072000,949800
375,7.2349,7.3149,7.2049,7.2649,ok,1467158400,661600
376,7.2349,7.3049,7.1449,7.2049,ok,1467244800,1098300
377,7.3108,7.4308,7.2208,7.2508,ok,1467331200,518800
378,7.1505,7.3505,7.1105,7.3505,ok,1467676800,729500
379,7.0578,7.2178,6.9778,7.1278,ok,1467763200,1014800
380,7.0325,7.1225,6.9925,7.0425,ok,1467849600,710700
381,7.3023,7.3223,6.9823,7.0023,ok,1467936000,7844800
382,7.3023,7.4723,7.2523,7.3023,ok,1468195200,540300
383,7.2855,7.4155,7.2655,7.3055,ok,1468281600,527600
384,7.3361,7.3561,7.1761,7.2761,ok,1468368000,577700
385,7.4288,7.4688,7.2588,7.3388,ok,1468454400,596500
386,7.5806,7.6006,7.3906,7.3906,ok,1468540800,1076600
387,7.6818,7.6918,7.4618,7.5518,ok,1468800000,810600
388,7.589,7.749,7.579,7.709,ok,1468886400,1163000
389,7.5047,7.6347,7.4947,7.6247,ok,1468972800,1019300
390,7.4963,7.5863,7.4363,7.4763,ok,1469059200,916000
391,7.471,7.601,7.471,7.501,ok,1469145600,730400
392,7.3951,7.5751,7.3451,7.4851,ok,1469404800,1127900
393,7.4035,7.4135,7.3135,7.4035,ok,1469491200,527100
394,7.2686,7.4386,7.2186,7.4086,ok,1469577600,508000
395,7.2855,7.3055,7.1455,7.2155,ok,1469664000,511200
396,7.3192,7.3392,7.2192,7.2892,ok,1469750400,456700
397,7.2349,7.3749,7.2249,7.3049,ok,1470009600,1326800
398,7.3023,7.3423,7.1923,7.1923,ok,1470096000,1525100
399,7.4457,7.5157,7.1757,7.2557,ok,1470182400,1065400
400,7.4963,7.5163,7.3863,7.4163,ok,1470268800,1077600
401,7.471,7.511,7.441,7.481,ok,1470355200,630500
402,7.53,7.64,7.44,7.46,ok,1470614400,517500
403,7.5384,7.6084,7.4784,7.4984,ok,1470700800,398700
404,7.5637,7.6037,7.5137,7.5237,ok,1470787200,607800
405,7.6312,7.6512,7.5312,7.5612,ok,1470873600,684600
406,7.471,7.691,7.471,7.651,ok,1470960000,524900
407,7.4119,7.5619,7.4019,7.4919,ok,1471219200,259600
408,7.3698,7.5298,7.3698,7.4198,ok,1471305600,522500
409,7.3108,7.3608,7.2208,7.3508,ok,1471392000,516700
410,7.3614,7.4514,7.2014,7.3214,ok,1471478400,487900
411,7.2096,7.3596,7.1696,7.3596,ok,1471564800,415200
412,7.1337,7.3037,7.1137,7.2437,ok,1471824000,372000
413,7.0831,7.2731,7.0831,7.1831,ok,1471910400,534000
414,7.0831,7.1231,6.9831,7.0931,ok,1471996800,496000
415,7.1674,7.1974,7.0474,7.0574,ok,1472083200,384100
416,7.0409,7.2609,7.0109,7.1809,ok,1472169600,647300
417,7.0747,7.0847,6.9847,7.0647,ok,1472428800,349200
418,7.0494,7.1594,6.9694,7.0994,ok,1472515200,584300
419,7.0241,7.0841,6.9041,7.0741,ok,1472601600,805900
