,c,h,l,o,s,t,v
0,70.35,71.3,69.76,70.94,ok,1420156800,1435700
1,69.62,70.54,69.45,70.2,ok,1420416000,2653100
2,68.67,69.96,67.58,69.78,ok,1420502400,2696900
3,70.83,70.92,68.83,69.18,ok,1420588800,2756300
4,71.11,71.19,70.25,71.06,ok,1420675200,2794100
5,69.46,71.2,69.36,71.0,ok,1420761600,2161100
6,69.43,69.54,68.47,69.44,ok,1421020800,4267700
7,68.0,70.23,67.71,70.11,ok,1421107200,5075200
8,67.37,67.55,65.86,67.26,ok,1421193600,4910100
9,66.41,68.05,66.07,67.51,ok,1421280000,8251000
10,66.71,66.98,65.2,66.0,ok,1421366400,8718000
11,67.25,67.37,65.91,66.88,ok,1421712000,3543700
12,67.81,68.1,67.08,67.2,ok,1421798400,3633700
13,70.25,70.58,67.83,68.28,ok,1421884800,9284800
14,72.07,72.59,70.34,70.49,ok,1421971200,6166700
15,70.36,72.34,69.52,72.11,ok,1422230400,8087700
16,71.31,71.58,69.75,70.12,ok,1422316800,5788500
17,69.96,71.7,69.82,71.7,ok,1422403200,3742000
18,70.18,70.56,69.58,70.18,ok,1422489600,3851800
19,71.1,72.13,69.77,70.05,ok,1422576000,6235200
20,72.23,72.52,70.28,71.22,ok,1422835200,5047400
21,74.39,74.5,72.03,72.23,ok,1422921600,4681300
22,75.0,75.72,73.79,74.4,ok,1423008000,5403300
23,75.92,76.73,74.98,75.13,ok,1423094400,4841000
24,75.07,76.48,74.84,76.33,ok,1423180800,2369900
25,74.9,75.45,74.47,74.63,ok,1423440000,2762000
26,75.71,75.8,74.66,75.39,ok,1423526400,2830300
27,76.66,76.94,75.33,75.52,ok,1423612800,4367000
28,75.85,77.16,75.53,76.79,ok,1423699200,4294300
29,76.82,76.91,75.23,75.89,ok,1423785600,2507900
30,76.73,77.01,76.23,76.84,ok,1424131200,2299100
31,77.02,77.11,76.47,76.86,ok,1424217600,2335000
32,76.7,77.68,76.64,77.45,ok,1424304000,2250700
33,77.69,77.87,76.16,76.7,ok,1424390400,2605400
34,77.8,78.1,77.34,78.0,ok,1424649600,3389900
35,77.47,78.0,77.35,78.0,ok,1424736000,2220400
36,79.16,80.85,77.56,77.56,ok,1424822400,5617500
37,79.04,79.5,78.42,78.79,ok,1424908800,2759300
38,79.68,79.81,78.61,78.96,ok,1424995200,4148400
39,79.92,80.25,79.29,79.5,ok,1425254400,3483600
40,79.16,80.19,78.79,80.13,ok,1425340800,3445000
41,78.84,79.34,78.72,79.12,ok,1425427200,2463100
42,79.43,79.71,78.88,79.14,ok,1425513600,1884800
43,79.61,80.14,79.01,79.26,ok,1425600000,2653500
44,79.7,79.84,79.3,79.54,ok,1425859200,1962500
45,79.61,79.7,78.88,79.18,ok,1425945600,2947400
46,78.83,80.06,78.81,79.65,ok,1426032000,3492700
47,80.89,81.21,79.62,80.1,ok,1426118400,3210600
48,81.91,82.12,80.71,80.89,ok,1426204800,2479800
49,83.71,83.73,82.05,82.27,ok,1426464000,3074100
50,83.32,83.83,83.01,83.38,ok,1426550400,2829700
51,83.7,84.21,82.91,83.29,ok,1426636800,2109500
52,83.41,84.1,83.25,83.88,ok,1426723200,1414800
53,83.81,84.22,83.37,83.91,ok,1426809600,2186200
54,83.05,84.0,83.03,83.74,ok,1427068800,1536700
55,82.83,83.57,81.17,81.17,ok,1427155200,1939700
56,81.17,82.83,81.11,81.77,ok,1427241600,1932700
57,81.02,81.47,80.29,80.71,ok,1427328000,2036400
58,81.72,82.15,81.03,81.08,ok,1427414400,1573500
59,81.81,82.49,81.46,82.0,ok,1427673600,1968600
60,81.15,82.44,81.13,81.67,ok,1427760000,2372900
61,81.3,81.57,80.25,81.33,ok,1427846400,3474700
62,81.12,81.55,80.77,81.33,ok,1427932800,1796700
63,80.98,81.78,80.16,80.36,ok,1428278400,2243300
64,80.58,81.82,80.57,81.07,ok,1428364800,2076800
65,83.53,83.53,80.51,81.32,ok,1428451200,2398400
66,82.75,84.0,82.45,83.9,ok,1428537600,2590000
67,82.87,83.19,82.5,82.71,ok,1428624000,1276200
68,81.82,83.25,81.67,82.84,ok,1428883200,1279000
69,81.05,82.16,80.99,81.62,ok,1428969600,1577900
70,81.21,81.76,81.08,81.2,ok,1429056000,2254000
71,81.03,81.48,80.75,81.2,ok,1429142400,2419900
72,79.14,81.0,78.7,80.48,ok,1429228800,2281500
73,79.71,79.79,78.75,79.79,ok,1429488000,1817200
74,80.78,80.97,80.09,80.47,ok,1429574400,1505900
75,80.57,80.95,80.11,80.67,ok,1429660800,2275200
76,81.01,81.26,80.23,80.23,ok,1429747200,1156000
77,81.14,81.38,80.45,81.14,ok,1429833600,1394500
78,80.42,81.89,79.99,81.89,ok,1430092800,1859900
79,79.97,80.46,79.55,80.21,ok,1430179200,1244900
80,77.47,80.15,77.41,79.79,ok,1430265600,3176800
81,76.41,77.8,76.14,77.32,ok,1430352000,3134200
82,77.73,77.88,76.14,76.37,ok,1430438400,2096900
